location,date,decimalLatitude,decimalLongitude,mean_wind_speed_1,mean_wind_speed_5,mean_wind_speed_16,mean_wind_speed_22,mean_wind_speed_30,mean_pres,mean_humid,mean_shortRad,mean_temp,mean_precip
HARV,Feb-18,42.53691,-72.17265,nan,0.601111111,0.855555556,1.385555556,2.282222222,97.99725481,70.57785714,91.88923077,-0.193444444,2.756296296
HARV,Mar-18,42.53691,-72.17265,0.295,0.735666667,1.045,1.741,2.949666667,97.00118333,64.464,137.783,-0.475573333,2.243333333
HARV,Apr-18,42.53691,-72.17265,0.331724138,0.700344828,0.954482759,1.539310345,2.485172414,97.3263969,nan,168.8355172,3.920141379,3.575862069
HARV,May-18,42.53691,-72.17265,0.221176471,0.485,0.561666667,0.986,1.982666667,97.62545533,nan,227.692,15.58267333,0.213333333
HARV,Jun-18,42.53691,-72.17265,0.14,0.39,0.335517241,0.687931034,1.915172414,97.35645828,nan,251.6655172,17.16600345,4.549655172
HARV,Jul-18,42.53691,-72.17265,0.122,0.344333333,0.293666667,0.588333333,1.716333333,97.87616233,nan,265.7776667,21.50588333,4.437
HARV,Aug-18,42.53691,-72.17265,0.113,0.319333333,0.269666667,0.524,1.593,97.63915667,70.12,195.213,20.89488667,6.455666667
HARV,Sep-18,42.53691,-72.17265,0.132413793,0.343793103,0.292413793,0.594827586,1.669655172,98.05416207,83.03482759,142.8617241,16.62417586,6.715517241
HARV,Oct-18,42.53691,-72.17265,0.188666667,0.419333333,0.394,0.76,2.021666667,97.37802667,80.86033333,93.85533333,8.158313333,2.602333333
HARV,Nov-18,42.53691,-72.17265,0.814137931,0.614827586,0.794482759,1.325862069,2.415172414,97.36545586,76.67518519,64.1437931,1.120437931,3.694482759
HARV,Dec-18,42.53691,-72.17265,0.259666667,0.582,0.831,1.347666667,2.314782609,97.46589633,71.47366667,64.07733333,-1.42477,1.952333333
HARV,Jan-19,42.53691,-72.17265,0.287407407,0.693666667,1,1.616666667,2.3925,97.24240333,65.36466667,70.96933333,-5.86465,2.893333333
HARV,Feb-19,42.53691,-72.17265,0.273571429,0.691111111,0.981481481,1.577037037,2.434285714,97.5189063,65.46,106.5422222,-3.543244444,1.914074074
HARV,Mar-19,42.53691,-72.17265,0.314117647,0.706666667,1.017333333,1.614666667,nan,97.47666867,58.392,160.9693333,-0.00629,1.501333333
HARV,Apr-19,42.53691,-72.17265,0.318965517,0.698571429,1.00962963,1.513846154,nan,97.3004069,69.38862069,168.4172414,7.342431034,5.59
HARV,May-19,42.53691,-72.17265,0.246333333,0.521666667,0.721333333,1.053,nan,97.24251333,72.552,193.0893333,11.50794333,2.478333333
HARV,Jun-19,42.53691,-72.17265,0.154137931,0.375517241,0.35862069,0.512857143,1.795384615,97.17709483,70.02724138,246.7068966,17.74422414,3.135862069
HARV,Jul-19,42.53691,-72.17265,0.111666667,0.329333333,0.289333333,0.509,1.535,97.365158,70.99,266.6976667,22.13144667,3.153666667
HARV,Aug-19,42.53691,-72.17265,0.114333333,0.318666667,0.285666667,0.520666667,1.573,97.38230167,74.76233333,232.648,19.36616333,2.263666667
HARV,Sep-19,42.53691,-72.17265,0.13137931,0.357586207,0.322173913,0.603913043,1.754482759,97.74420552,74.35642857,188.9635714,15.67696786,1.723103448
HARV,Oct-19,42.53691,-72.17265,0.213703704,0.458148148,0.606,0.924,2.07037037,97.70773185,78.18814815,93.77888889,10.44654815,2.421
HARV,Nov-19,42.53691,-72.17265,0.273793103,0.613103448,0.822413793,1.468965517,2.451724138,97.39343379,68.54758621,78.03241379,0.896358621,1.741034483
HARV,Dec-19,42.53691,-72.17265,0.455,0.629,0.963666667,1.659333333,2.602333333,97.34548933,76.51433333,51.99833333,-1.997626667,3.371
HARV,Jan-20,42.53691,-72.17265,nan,0.623666667,0.844333333,1.492666667,2.447,97.507567,69.65533333,72.54766667,-1.67248,1.722666667
HARV,Feb-20,42.53691,-72.17265,nan,0.626785714,0.855714286,1.557692308,2.429642857,97.18871893,66.77428571,99.69857143,-1.675053571,2.403928571
HARV,Mar-20,42.53691,-72.17265,0.383478261,0.708,1.028333333,1.671,2.625666667,97.67249433,59.78466667,148.0603333,3.214833333,2.496333333
HARV,Apr-20,42.53691,-72.17265,0.388275862,0.747586207,1.04137931,1.746551724,2.855517241,96.82480241,63.2262069,170.4893103,4.779441379,0
HARV,May-20,42.53691,-72.17265,0.32,0.610666667,0.783,1.404666667,2.451333333,97.45792933,59.41966667,268.0346667,12.12636667,0
HARV,Jun-20,42.53691,-72.17265,0.166551724,0.355862069,0.334482759,0.632758621,1.722068966,97.38556345,68.22068966,265.9868966,18.84632069,0
HARV,Jul-20,42.53691,-72.17265,0.154666667,0.337666667,0.312333333,0.557666667,1.651,97.32316433,74.142,254.323,21.98972,0
HARV,Aug-20,42.53691,-72.17265,0.158333333,0.339333333,0.332333333,0.632333333,1.743666667,97.33572433,71.229,219.57,20.27318,0
HARV,Sep-20,42.53691,-72.17265,0.161724138,0.348965517,0.33137931,0.647931034,1.862758621,97.75297724,71.83689655,179.5086207,15.92871724,0
HARV,Oct-20,42.53691,-72.17265,0.182666667,0.389,0.393,0.722,1.789666667,97.72538367,77.81035714,106.037931,9.441896667,2.485333333
HARV,Nov-20,42.53691,-72.17265,0.266896552,0.572068966,0.751034483,1.272758621,2.206206897,97.73093276,68.79034483,77.18310345,6.464031034,2.414827586
HARV,Dec-20,42.53691,-72.17265,0.3375,0.604666667,1.256551724,1.496666667,2.491333333,97.244164,74.34233333,56.15266667,-1.137886667,3.268
HARV,Jan-21,42.53691,-72.17265,nan,0.659666667,0.791666667,1.574,2.5368,97.01800567,73.01266667,70.82433333,-4.186026667,1.898
HARV,Feb-21,42.53691,-72.17265,nan,0.62,0.867777778,1.458148148,2.754,97.38124074,69.24,88.51666667,-3.71992963,2.177777778
HARV,Mar-21,42.53691,-72.17265,0.391,0.785357143,1.040357143,1.733928571,2.868928571,97.66935607,52.12464286,186.8928571,2.867717857,1.537333333
HARV,Apr-21,42.53691,-72.17265,0.363448276,0.723448276,0.938965517,1.574827586,2.540689655,96.90656448,62.37241379,190.4896552,7.522286207,3.303448276
HARV,May-21,42.53691,-72.17265,0.256333333,0.519333333,0.599666667,1.076,2.078333333,97.59176767,58.15633333,228.863,13.20808,3.662
HARV,Jun-21,42.53691,-72.17265,0.166896552,0.357586207,0.32862069,0.605517241,1.780344828,97.41137552,70.2762069,264.2282759,19.68838276,2.277241379
HARV,Jul-21,42.53691,-72.17265,0.154,0.353,0.334333333,0.631333333,1.645666667,97.40708767,84.18038462,189.1923333,18.43051,6.808333333
HARV,Aug-21,42.53691,-72.17265,0.145,0.326666667,0.310666667,0.576,1.566666667,97.65129867,81.95636364,193.2876667,21.04991667,2.945333333
HARV,Sep-21,42.53691,-72.17265,0.156551724,0.365172414,0.335172414,0.651111111,1.79,97.46227276,81.45172414,166.9906897,12.9581,4.401724138
HARV,Oct-21,42.53691,-72.17265,0.202333333,0.431333333,0.430333333,1.1332,1.787666667,97.33105633,81.73333333,112.462,nan,3.484666667
HARV,Nov-21,42.53691,-72.17265,0.234285714,0.536551724,0.716551724,1.737619048,2.003448276,97.45553241,66.36241379,92.75517241,3.18742381,1.783103448
HARV,Dec-21,42.53691,-72.17265,nan,0.584333333,0.924666667,1.705333333,2.144482759,97.28297467,73.54833333,54.618,0.975643333,2.131666667
HARV,Jan-22,42.53691,-72.17265,nan,0.720666667,1.062666667,2.143333333,2.642666667,97.30283967,65.21033333,82.741,-6.41433,1.878666667
HARV,Feb-22,42.53691,-72.17265,nan,0.732962963,1.077407407,2.12037037,2.577407407,97.68591593,69.61185185,109.742963,-1.945488889,3.307037037
HARV,Mar-22,42.53691,-72.17265,0.400909091,0.701,1.035666667,1.984,2.467,97.13167467,66.59033333,153.1803333,2.52107,1.707333333
HARV,Apr-22,42.53691,-72.17265,0.39862069,0.785172414,1.137931034,2.123448276,2.678275862,97.28372483,61.99555556,196.5513793,7.289586207,2.641034483
HARV,May-22,42.53691,-72.17265,0.286666667,0.556333333,0.704666667,1.540333333,2.094333333,97.58777467,nan,244.2523333,15.24839667,2.362333333
HARV,Jun-22,42.53691,-72.17265,0.167241379,0.378965517,0.36,1.186206897,1.827931034,97.29537276,65.87689655,257.3644828,18.17195517,3.080344828
SCBI,Dec-14,38.892925,-78.139494,0.482,0.810909091,0.984545455,nan,2.231818182,,,71.45545455,3.744963636,
SCBI,Jan-15,38.892925,-78.139494,0.641904762,1.155238095,1.571818182,2.667368421,3.247826087,97.34748444,,77.31333333,0.400921739,
SCBI,Feb-15,38.892925,-78.139494,0.69037037,1.252962963,1.585185185,2.916296296,3.125384615,97.43113,,129.9955556,-3.96502963,
SCBI,Mar-15,38.892925,-78.139494,0.671666667,4.053666667,1.543666667,2.900333333,nan,97.62331067,,171.05,5.50036,
SCBI,Apr-15,38.892925,-78.139494,0.633793103,11.44678571,1.415862069,2.761034483,nan,97.29612552,,214.0817241,12.65747241,
SCBI,May-15,38.892925,-78.139494,0.301666667,18.50933333,0.570333333,2.110666667,nan,97.84700167,,272.715,19.55504333,
SCBI,Jun-15,38.892925,-78.139494,0.195517241,6.027777778,0.45137931,1.579130435,nan,97.38369929,72.03727273,234.2427586,21.54477586,
SCBI,Jul-15,38.892925,-78.139494,0.104,5.935625,0.402333333,1.54952381,nan,91.87377,77.37333333,250.094,22.92730333,
SCBI,Aug-15,38.892925,-78.139494,0.094333333,6.079375,0.425,1.355454545,1.928,nan,69.573,243.2733333,22.29691,
SCBI,Sep-15,38.892925,-78.139494,0.098571429,2.97125,0.396551724,1.311724138,1.710344828,97.954145,74.23137931,171.4448276,20.93274762,
SCBI,Oct-15,38.892925,-78.139494,0.218666667,0.675,0.646333333,1.701,2.135,97.72027367,61.80592593,139.1653333,nan,
SCBI,Nov-15,38.892925,-78.139494,0.393461538,0.880344828,1.196666667,2.236206897,2.578275862,98.02606241,61.21137931,101.6231034,nan,
SCBI,Dec-15,38.892925,-78.139494,0.5125,0.983928571,1.456111111,2.506923077,2.955,97.63091036,77.2008,70.306,nan,
SCBI,Jan-16,38.892925,-78.139494,0.445,1.054333333,1.408888889,2.582333333,3.038666667,97.37993267,42.285,99.11633333,-0.72706,
SCBI,Feb-16,38.892925,-78.139494,0.646428571,1.161153846,1.689473684,3.075789474,3.3825,97.38566071,nan,115.3039286,1.794703571,
SCBI,Mar-16,38.892925,-78.139494,0.627,1.343333333,1.515,2.795666667,3.259666667,97.444171,56.10375,156.5593333,10.07685,
SCBI,Apr-16,38.892925,-78.139494,0.631034483,1.154482759,1.49137931,2.905517241,3.406206897,97.48584414,43.62470588,216.9406897,11.80428276,
SCBI,May-16,38.892925,-78.139494,0.282,0.604,0.6008,1.7112,2.1312,97.3103104,nan,171.5084,14.05276,
SCBI,Jun-16,38.892925,-78.139494,0.250740741,0.56952381,0.491111111,1.773703704,2.442962963,97.37908259,nan,269.3269565,nan,
SCBI,Jul-16,38.892925,-78.139494,0.187,0.485333333,0.403666667,1.421333333,1.930666667,97.46922833,nan,261.25,nan,
SCBI,Aug-16,38.892925,-78.139494,0.088,0.531333333,0.443333333,1.673,2.231666667,97.693473,nan,246.514,nan,
SCBI,Sep-16,38.892925,-78.139494,0.077586207,0.566551724,0.470344828,1.573793103,2.123448276,97.75200138,nan,184.1327586,nan,
SCBI,Oct-16,38.892925,-78.139494,0.163666667,0.696666667,0.669,1.939333333,2.537666667,97.82732433,58.46066667,146.8186667,14.3225,
SCBI,Nov-16,38.892925,-78.139494,0.316206897,0.85,1.09137931,2.102068966,2.500689655,97.70294517,50.60551724,105.5403448,nan,1.851428571
SCBI,Dec-16,38.892925,-78.139494,0.523333333,1.155666667,1.618333333,2.970666667,3.442,97.81536633,58.36933333,78.89766667,nan,1.393333333
SCBI,Jan-17,38.892925,-78.139494,0.535666667,1.181666667,1.580333333,2.880333333,3.386,97.34633333,73.58636364,71.18866667,nan,3.306666667
SCBI,Feb-17,38.892925,-78.139494,0.606296296,1.224444444,1.713333333,3.112592593,3.600740741,97.2469263,nan,118.8155556,nan,1.19037037
SCBI,Mar-17,38.892925,-78.139494,0.620666667,1.249,1.709333333,3.271666667,3.484666667,97.818958,nan,166.8626667,nan,2.213
SCBI,Apr-17,38.892925,-78.139494,0.507931034,1.066896552,1.315172414,2.282666667,3.240344828,97.4218131,nan,201.8026923,nan,2.564482759
SCBI,May-17,38.892925,-78.139494,0.208333333,0.651538462,0.579666667,1.939666667,2.513666667,97.05661233,79.82,209.9028571,nan,6.539
SCBI,Jun-17,38.892925,-78.139494,0.125862069,0.592608696,0.511724138,1.86862069,2.437241379,97.32488103,59.4662069,280.3272414,nan,1.241724138
SCBI,Jul-17,38.892925,-78.139494,0.106,0.504333333,0.441333333,1.374,1.849666667,97.444541,64.81166667,243.301,23.09658182,2.504666667
SCBI,Aug-17,38.892925,-78.139494,0.139333333,0.473666667,0.402,1.322333333,1.842333333,97.600236,70.71366667,220.221,21.53948667,2.970333333
SCBI,Sep-17,38.892925,-78.139494,0.135862069,0.476551724,0.428965517,1.07862069,1.474827586,97.61665207,67.97,197.7244828,19.2893,1.122068966
SCBI,Oct-17,38.892925,-78.139494,0.273666667,0.731666667,0.695,2.053666667,2.689333333,97.71095833,65.66633333,156.5838095,16.02783,3.755666667
SCBI,Nov-17,38.892925,-78.139494,0.42,0.929310345,1.207241379,2.364482759,2.801034483,97.71987966,58.85241379,95.355625,7.283410345,1.751034483
SCBI,Dec-17,38.892925,-78.139494,0.468,0.996333333,1.357333333,2.525666667,2.911666667,97.51979633,55.03766667,72.19,1.525543333,1.334666667
SCBI,Jan-18,38.892925,-78.139494,0.556551724,1.180689655,1.617241379,2.958275862,3.389655172,97.91702138,55.42724138,92.95173913,0.501224138,3.635666667
SCBI,Feb-18,38.892925,-78.139494,0.562916667,1.164166667,1.509166667,2.784166667,3.209166667,98.0504925,68.29041667,103.2016667,6.838125,3.323333333
SCBI,Mar-18,38.892925,-78.139494,0.584137931,1.205862069,1.607857143,2.836428571,3.244642857,97.22233586,56.47862069,166.4317241,2.618155172,3.614
SCBI,Apr-18,38.892925,-78.139494,0.611034483,1.242068966,1.622068966,2.89862069,3.311034483,97.29136897,53.34103448,203.6993103,9.509931034,4.792068966
SCBI,May-18,38.892925,-78.139494,0.256296296,0.700740741,0.602592593,1.865185185,2.353333333,97.51733296,69.80555556,236.5118519,20.24523704,0.634333333
SCBI,Jun-18,38.892925,-78.139494,0.148275862,0.53,0.439310345,1.396551724,1.846551724,97.28873586,71.3375,232.5404348,21.05361724,3.571034483
SCBI,Jul-18,38.892925,-78.139494,0.146333333,0.491333333,0.406666667,1.349666667,1.857666667,97.65055633,71.02,216.1193333,22.86533333,4.613
SCBI,Aug-18,38.892925,-78.139494,0.135333333,0.470333333,0.391666667,1.201,1.620666667,97.58474133,71.94347826,226.4948148,23.2877,4.311
SCBI,Sep-18,38.892925,-78.139494,0.166153846,0.539230769,0.445384615,1.275384615,1.723846154,97.80647769,87.65769231,127.3888462,19.40226538,3.015517241
SCBI,Oct-18,38.892925,-78.139494,0.28,0.711333333,0.738333333,2.023,2.555333333,97.64528125,73.76333333,138.3280952,15.43526522,2.148333333
SCBI,Nov-18,38.892925,-78.139494,0.45,0.96,1.272758621,2.444482759,2.872413793,97.59244448,63.29823529,88.9075,6.054705263,5.189310345
SCBI,Dec-18,38.892925,-78.139494,0.427333333,0.899333333,1.161333333,2.135333333,2.490333333,97.607223,65.88862069,69.31233333,3.34918,5.278666667
SCBI,Jan-19,38.892925,-78.139494,0.568666667,1.166666667,1.593666667,2.406,3.362666667,97.54776233,63.51066667,79.10066667,-0.378286667,0.526333333
SCBI,Feb-19,38.892925,-78.139494,0.546153846,1.077307692,1.429615385,nan,3.13,97.72721615,63.32076923,116.8334615,3.690607692,1.55037037
SCBI,Mar-19,38.892925,-78.139494,0.602333333,1.177666667,1.623666667,nan,3.304074074,97.679801,50.76,175.135,5.391723333,1.625
SCBI,Apr-19,38.892925,-78.139494,0.512413793,1.05862069,1.37862069,nan,3.406551724,97.2966631,59.19275862,198.7303448,3.71865,2.453448276
SCBI,May-19,38.892925,-78.139494,0.179,0.631666667,0.689,nan,2.392666667,97.26780267,68.741,228.7143333,19.3283,2.656666667
SCBI,Jun-19,38.892925,-78.139494,0.117931034,0.559310345,nan,nan,2.21137931,97.31753862,62.94551724,263.3251724,21.35154828,1.534827586
SCBI,Jul-19,38.892925,-78.139494,0.075,0.477,0.45,nan,1.699666667,97.473406,67.27533333,261.623,23.7508,0.241333333
SCBI,Aug-19,38.892925,-78.139494,0.081333333,0.507,0.465666667,2.006666667,1.814666667,97.410013,67.73,241.857,nan,0
SCBI,Sep-19,38.892925,-78.139494,0.137931034,0.606206897,0.567241379,nan,2.266551724,97.74444483,66.90689655,204.2496552,nan,0
SCBI,Oct-19,38.892925,-78.139494,0.239,0.792666667,0.862,nan,2.767666667,97.62909517,69.29633333,132.6983333,13.60482727,1.521666667
SCBI,Nov-19,38.892925,-78.139494,0.386551724,0.949655172,1.254137931,2.389166667,2.713448276,97.492105,56.18862069,106.0556,5.604810345,0.483103448
SCBI,Dec-19,38.892925,-78.139494,0.434,1.034,1.386333333,2.525333333,2.917333333,97.55480567,64.879,79.232,4.171703333,0.537
SCBI,Jan-20,38.892925,-78.139494,0.526666667,1.182333333,1.614333333,2.929333333,3.389,97.75682767,63.78333333,83.21566667,3.54978,1.947
SCBI,Feb-20,38.892925,-78.139494,0.539642857,1.171428571,1.596785714,2.877857143,3.298214286,97.38530571,55.97357143,107.3432143,5.67828125,1.067142857
SCBI,Mar-20,38.892925,-78.139494,0.569,1.231666667,1.607666667,2.859,3.295666667,97.681742,60.25433333,150.968,9.476706667,0.896333333
SCBI,Apr-20,38.892925,-78.139494,0.473103448,1.084482759,1.330344828,2.645172414,3.230689655,96.99867448,56.1237931,196.2972414,10.43536897,2.776206897
SCBI,May-20,38.892925,-78.139494,0.255333333,0.770666667,0.751666667,2.031,2.597333333,97.55986033,63.353,223.7616667,14.86711,2.280666667
SCBI,Jun-20,38.892925,-78.139494,0.133103448,0.557931034,0.48862069,1.548965517,2.101724138,97.45166897,64.14689655,272.3896552,21.78305517,2.802758621
SCBI,Jul-20,38.892925,-78.139494,0.113666667,0.502333333,0.434333333,1.300666667,1.795,97.39965433,64.45466667,273.7403333,25.40068333,1.014
SCBI,Aug-20,38.892925,-78.139494,0.119655172,0.507586207,0.427241379,1.314137931,1.843103448,97.41381414,74.69034483,205.3475862,22.76773793,2.807
SCBI,Sep-20,38.892925,-78.139494,0.15862069,0.533793103,0.468965517,1.387931034,1.974827586,97.75346552,72.99344828,185.082069,18.10912069,2.085172414
SCBI,Oct-20,38.892925,-78.139494,0.235333333,0.678,0.699666667,1.727666667,2.299,97.71249767,69.35433333,139.7266667,14.21636667,0
SCBI,Nov-20,38.892925,-78.139494,0.435862069,1.06,1.474482759,2.729655172,3.179310345,97.93092103,55.16862069,109.2372414,11.24002069,0
SCBI,Dec-20,38.892925,-78.139494,0.489,1.114666667,1.508,2.663333333,3.217666667,97.4956,62.085,76.56566667,3.04296,0.112666667
SCBI,Jan-21,38.892925,-78.139494,0.454,0.992666667,1.246,2.123,2.568333333,97.36091467,60.76666667,85.27966667,1.193796667,0
SCBI,Feb-21,38.892925,-78.139494,0.496666667,1.062222222,1.352222222,2.405185185,3.446296296,97.58651815,66.22888889,106.3781481,0.703761538,0
SCBI,Mar-21,38.892925,-78.139494,0.558333333,1.189,1.63,2.803333333,3.319333333,97.868423,47.87233333,191.3623333,8.758193333,0
SCBI,Apr-21,38.892925,-78.139494,0.42137931,0.967586207,1.220689655,2.363448276,2.944827586,97.1823669,51.54103448,216.622069,13.06334138,0
SCBI,May-21,38.892925,-78.139494,0.184666667,0.654666667,0.627666667,1.721333333,2.329333333,97.74254367,56.861,245.5813333,16.57978,0.711
SCBI,Jun-21,38.892925,-78.139494,0.152413793,0.577241379,0.522758621,1.704482759,2.383448276,97.51234069,67.18517241,263.792069,22.23141034,1.948965517
SCBI,Jul-21,38.892925,-78.139494,0.157333333,0.517666667,0.469666667,1.393,1.952,97.49316567,64.25066667,267.318,24.00652,0.571666667
SCBI,Aug-21,38.892925,-78.139494,0.153,0.495333333,0.431333333,1.277,1.830666667,97.66714433,72.10933333,215.0296667,23.85089,3.612
SCBI,Sep-21,38.892925,-78.139494,0.195862069,0.538965517,0.479655172,1.43862069,2.00862069,97.55404414,68.46482759,198.8782759,20.09639655,4.334827586
SCBI,Oct-21,38.892925,-78.139494,0.237,0.587333333,0.560666667,1.542,2.129333333,97.351994,74.962,118.4076667,16.15988667,2.679333333
SCBI,Nov-21,38.892925,-78.139494,0.352413793,0.848275862,1.080689655,2.052068966,2.502758621,97.74878345,50.6562069,116.1927586,7.118582759,1.365862069
SCBI,Dec-21,38.892925,-78.139494,0.459333333,1.145666667,1.581333333,2.759666667,3.263666667,97.46659467,55.628,76.801,7.083176667,1.062
SCBI,Jan-22,38.892925,-78.139494,0.458,1.115666667,1.495,2.595666667,3.082333333,97.52078133,57.03866667,89.82366667,-1.589823333,1.406666667
SCBI,Feb-22,38.892925,-78.139494,0.564074074,1.354814815,1.896296296,3.316666667,3.925925926,97.86039185,55.56444444,133.9525926,3.743459259,1.245185185
SCBI,Mar-22,38.892925,-78.139494,0.574666667,1.397666667,1.942333333,3.291,3.83,97.37810567,53.81066667,165.2773333,8.549413333,0.784333333
SCBI,Apr-22,38.892925,-78.139494,0.479655172,1.139655172,1.437142857,2.61862069,3.192068966,97.46136931,52.9362069,210.4048276,11.40854828,2.45862069
SCBI,May-22,38.892925,-78.139494,0.264,0.725,0.634482759,1.659,2.238666667,97.49468333,69.43862069,226.8773333,17.63319667,4.587
SCBI,Jun-22,38.892925,-78.139494,0.227586207,0.633103448,0.573103448,1.737586207,2.39,97.40233448,65.17034483,269.4668966,21.56642414,3.043448276
