location,date,total_count
SCBI,2019-04,4.0
SCBI,2019-05,91.0
SCBI,2019-06,12.0
SCBI,2019-07,31.0
SCBI,2019-08,21
SCBI,2019-09,23
SCBI,2019-10,2.0
SCBI,2019-11,0.0
SCBI,2019-12,0.0
SCBI,2020-01,0.0
SCBI,2020-02,0.0
SCBI,2020-03,2
SCBI,2020-04,0.0
SCBI,2020-05,0.0
SCBI,2020-06,25.0
SCBI,2020-07,19.0
SCBI,2020-08,39
SCBI,2020-09,28
SCBI,2020-10,13.0
SCBI,2020-11,0.0
SCBI,2020-12,0.0
SCBI,2021-01,0.0
SCBI,2021-02,0.0
SCBI,2021-03,0.0
SCBI,2021-04,1
SCBI,2021-05,0.0
SCBI,2021-06,9.0
SCBI,2021-07,4
SCBI,2021-08,29.0
SCBI,2021-09,37
SCBI,2021-10,12
SERC,2015-04,43.0
SERC,2015-05,1315
SERC,2015-06,1074
SERC,2015-07,3427
SERC,2015-08,2554
SERC,2015-09,828
SERC,2015-10,94.0
SERC,2015-11,158.0
SERC,2016-05,217.0
SERC,2016-06,2598
SERC,2016-07,1889
SERC,2016-08,1645.0
SERC,2016-09,906.0
SERC,2016-10,239
SERC,2016-11,0.0
SERC,2017-03,0.0
SERC,2017-04,76.0
SERC,2017-05,148
SERC,2017-06,1677.0
SERC,2017-07,1809
SERC,2017-08,2845
SERC,2017-09,998
SERC,2017-10,2070
SERC,2017-11,134.0
SERC,2017-12,10
SERC,2018-03,0.0
SERC,2018-05,1507
SERC,2018-06,655
SERC,2018-07,2167
SERC,2018-08,1412
SERC,2018-09,994
SERC,2018-10,874
SERC,2018-11,2
SERC,2018-12,0.0
SERC,2019-04,110.0
SERC,2019-05,1558
SERC,2019-06,409
SERC,2019-07,637.0
SERC,2019-08,381
SERC,2019-09,490.0
SERC,2019-10,62
SERC,2019-11,188
SERC,2019-12,20.0
SERC,2020-03,0.0
SERC,2020-04,0.0
SERC,2020-05,0.0
SERC,2020-06,0.0
SERC,2020-07,0.0
SERC,2020-08,0.0
SERC,2020-09,0.0
SERC,2020-10,422
SERC,2020-11,85
SERC,2020-12,0.0
SERC,2021-05,121
SERC,2021-06,539
SERC,2021-07,370
SERC,2021-08,1129
SERC,2021-09,1334
SERC,2021-10,290
DSNY,2014-04,4509
DSNY,2014-05,6137
DSNY,2014-06,5908
DSNY,2014-07,6033
DSNY,2014-08,6213
DSNY,2014-09,6342
DSNY,2014-10,3721
DSNY,2016-04,9258.0
DSNY,2016-05,3616
DSNY,2016-06,801
DSNY,2016-07,2258
DSNY,2016-08,799
DSNY,2016-09,4002
DSNY,2016-10,3529
DSNY,2016-11,3812
DSNY,2017-03,3716
DSNY,2017-04,2218.0
DSNY,2017-05,1594
DSNY,2017-06,4018.0
DSNY,2017-07,4100
DSNY,2017-08,4087
DSNY,2017-09,2903
DSNY,2017-10,3724
DSNY,2017-11,4037
DSNY,2017-12,4034
DSNY,2018-01,1118
DSNY,2018-02,1963
DSNY,2018-03,1247
DSNY,2018-04,1199
DSNY,2018-05,2715
DSNY,2018-06,2082.0
DSNY,2018-07,1504
DSNY,2018-08,1645
DSNY,2018-09,1636
DSNY,2018-10,1630
DSNY,2018-11,1904
DSNY,2018-12,1808
DSNY,2019-01,3902.0
DSNY,2019-02,1964
DSNY,2019-03,2018
DSNY,2019-04,2034
DSNY,2019-05,2018
DSNY,2019-06,1696
DSNY,2019-07,2263
DSNY,2019-08,2570
DSNY,2019-09,1237
DSNY,2019-10,1926
DSNY,2019-11,1836
DSNY,2019-12,1895
DSNY,2020-01,1987
DSNY,2020-02,2037
DSNY,2020-03,0.0
DSNY,2020-04,0.0
DSNY,2020-05,0.0
DSNY,2020-06,1921
DSNY,2020-07,0.0
DSNY,2020-08,0.0
DSNY,2020-09,0.0
DSNY,2020-10,0.0
DSNY,2020-11,1608
DSNY,2020-12,2956
DSNY,2021-01,1408
DSNY,2021-02,2024
DSNY,2021-03,1820
DSNY,2021-04,2068
DSNY,2021-05,1945
DSNY,2021-06,1946
DSNY,2021-07,2095
DSNY,2021-08,2087
DSNY,2021-09,0.0
DSNY,2021-10,2032
JERC,2014-06,1551
JERC,2014-07,485
JERC,2014-08,259
JERC,2014-09,314
JERC,2014-10,436
JERC,2016-03,2516
JERC,2016-04,4610
JERC,2016-05,2184.0
JERC,2016-06,144.0
JERC,2016-07,130
JERC,2016-08,102.0
JERC,2016-09,280
JERC,2016-10,391
JERC,2017-03,22
JERC,2017-04,96.0
JERC,2017-05,975
JERC,2017-06,136
JERC,2017-07,392
JERC,2017-08,590.0
JERC,2017-09,1276
JERC,2017-10,299.0
JERC,2017-11,164
JERC,2017-12,42.0
JERC,2018-01,3.0
JERC,2018-02,34.0
JERC,2018-03,1031
JERC,2018-04,243
JERC,2018-05,827.0
JERC,2018-06,1032
JERC,2018-07,896
JERC,2018-08,414
JERC,2018-09,298
JERC,2018-10,2059
JERC,2018-11,399
JERC,2018-12,232
JERC,2019-01,12.0
JERC,2019-02,434
JERC,2019-03,372
JERC,2019-04,667
JERC,2019-05,140
JERC,2019-06,192
JERC,2019-07,198
JERC,2019-08,955
JERC,2019-09,272
JERC,2019-10,124
JERC,2019-11,135
JERC,2019-12,120
JERC,2020-01,85
JERC,2020-02,127
JERC,2020-03,1290
JERC,2020-04,0.0
JERC,2020-05,0.0
JERC,2020-06,335
JERC,2020-07,0.0
JERC,2020-08,0.0
JERC,2020-09,0.0
JERC,2020-10,2002
JERC,2020-11,108
JERC,2020-12,63
JERC,2021-01,3
JERC,2021-02,56
JERC,2021-04,846
JERC,2021-05,2123
JERC,2021-06,1068
JERC,2021-07,564
JERC,2021-08,520
JERC,2021-09,0.0
JERC,2021-10,277
OSBS,2014-04,7306
OSBS,2014-05,10186
OSBS,2014-06,8961
OSBS,2014-07,16828
